config_key,pbe_path,hse_path,dopants,natoms,pbe_nsw,hse_nsw,pbe_steps,hse_steps,pbe_encut,hse_encut,pbe_prec,hse_prec,pbe_ispin,hse_ispin,pbe_volume,hse_volume,volume_diff,pbe_nelect,hse_nelect,pbe_magmom,hse_magmom,max_displacement,geometry,quality,quality_notes,note
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config3,triads_defects/H-B-Si/C8-C53-C1-were_replaced/config3/GGA-PBE,triads_defects/H-B-Si/C8-C53-C1-were_replaced/config3/HSE06,BHSi,64,100,0,62,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,-0.0,0.0,3.765879839250725e-14,same-geometry,clean,,
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config1,triads_defects/H-B-Si/C8-C55-C1-were_replaced/config1/GGA-PBE,triads_defects/H-B-Si/C8-C55-C1-were_replaced/config1/HSE06,BHSi,64,100,0,62,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,0.0,0.0,4.040878969478884e-14,same-geometry,clean,,
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config2,triads_defects/H-B-Si/C8-C55-C1-were_replaced/config2/GGA-PBE,triads_defects/H-B-Si/C8-C55-C1-were_replaced/config2/HSE06,BHSi,64,100,0,53,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,0.0,0.0,3.858633078019495e-14,same-geometry,clean,,
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config3,triads_defects/H-B-Si/C8-C55-C1-were_replaced/config3/GGA-PBE,triads_defects/H-B-Si/C8-C55-C1-were_replaced/config3/HSE06,BHSi,64,100,0,3,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,1.5,2.0018,4.1539525760412305e-14,same-geometry,clean,,
triads_defects/H-N-O/c8-c53-c1/config1,triads_defects/H-N-O/c8-c53-c1/config1/GGA-PBE,triads_defects/H-N-O/c8-c53-c1/config1/HSE06,HNO,64,100,0,29,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,1.9696,2.0001,3.8457248308314645e-14,same-geometry,clean,,
triads_defects/H-N-O/c8-c53-c1/config2/sigma00001,triads_defects/H-N-O/c8-c53-c1/config2/sigma00001,triads_defects/H-N-O/c8-c53-c1/config2/sigma00001/hse06,HNO,64,100,0,5,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,-0.25,-0.0005,3.919421992387118e-14,same-geometry,spin-suspect,mag-quarter,
triads_defects/H-N-O/c8-c53-c1/config3/sigma00001,triads_defects/H-N-O/c8-c53-c1/config3/sigma00001,triads_defects/H-N-O/c8-c53-c1/config3/sigma00001/hse06,HNO,64,100,0,59,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,2.0,2.0,3.652677514027292e-14,same-geometry,clean,,
triads_defects/H-N-O/c8-c55-c1/config1,triads_defects/H-N-O/c8-c55-c1/config1/GGA-PBE,triads_defects/H-N-O/c8-c55-c1/config1/HSE06,HNO,64,100,0,56,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,2.0,2.0,3.779269676478259e-14,same-geometry,clean,,
triads_defects/H-N-O/c8-c55-c1/config2,triads_defects/H-N-O/c8-c55-c1/config2/GGA-PBE,triads_defects/H-N-O/c8-c55-c1/config2/HSE06,HNO,64,40,0,39,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,0.0,-0.0,3.606795706192927e-14,same-geometry,clean,,
triads_defects/H-N-O/c8-c55-c1/config3,triads_defects/H-N-O/c8-c55-c1/config3/GGA-PBE,triads_defects/H-N-O/c8-c55-c1/config3/HSE06,HNO,64,100,0,70,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,0.0,0.0,3.917728594112924e-14,same-geometry,clean,,
triads_defects/Li-B-P/c8-c53-c1/config1,triads_defects/Li-B-P/c8-c53-c1/config1/GGA-PBE,triads_defects/Li-B-P/c8-c53-c1/config1/HSE06,BLiP,64,100,0,7,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,1.0,1.0,3.705679137405256e-14,same-geometry,clean,,
triads_defects/Li-B-P/c8-c53-c1/config2,triads_defects/Li-B-P/c8-c53-c1/config2/GGA-PBE,triads_defects/Li-B-P/c8-c53-c1/config2/HSE06,BLiP,64,100,0,29,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,0.0,0.0,4.1302335142171347e-14,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
triads_defects/Li-B-P/c8-c53-c1/config3,triads_defects/Li-B-P/c8-c53-c1/config3/GGA-PBE,triads_defects/Li-B-P/c8-c53-c1/config3/HSE06,BLiP,64,100,0,24,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,2.5,3.0018,3.7707496150576035e-14,same-geometry,clean,,
triads_defects/Li-B-P/c8-c55-c1/config1,triads_defects/Li-B-P/c8-c55-c1/config1/GGA-PBE,triads_defects/Li-B-P/c8-c55-c1/config1/HSE06,BLiP,64,100,0,17,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,2.75,3.0009,3.714600792342253e-14,same-geometry,clean,,
triads_defects/Li-B-P/c8-c55-c1/config2,triads_defects/Li-B-P/c8-c55-c1/config2/GGA-PBE,triads_defects/Li-B-P/c8-c55-c1/config2/HSE06,BLiP,64,100,0,11,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,0.75,0.9995,3.9740129792417095e-14,same-geometry,clean,,
triads_defects/Li-B-P/c8-c55-c1/config3,triads_defects/Li-B-P/c8-c55-c1/config3/GGA-PBE,triads_defects/Li-B-P/c8-c55-c1/config3/HSE06,BLiP,64,100,0,14,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,1.0,1.0,3.9733177789751176e-14,same-geometry,clean,,
