# Diamond defect corpus — one row per VASP run. 199 rows.
# spin_sum_rule: ok | FAIL-fractional (non-integer magnetisation) | FAIL-parity (odd electron count, even magnetisation)
# Generated 2026-07-21 from the recovered archives; see 04-data-health-gaps-and-caveats.md
run_directory	archive	level	aexx	hfscreen	encut	sigma	nsw	ionic_steps	reached_accuracy	clean_exit	defect_order	n_substituted	species	nelect	magnetization	spin_sum_rule	gap_eV	frac_occ_states	E_final_eV	elapsed_s	cores
single_defects_new-only-HSE06/III-A/Al/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	5	yes	yes	single	1	Al C	254.9999798	0.2500001	FAIL-fractional	0.1352	0	-660.24436543	9605.263	112
single_defects_new-only-HSE06/III-A/Ga/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Ga C	264.9999823		FAIL-parity	0.1108	0	-658.65356668	15896.378	112
single_defects_new-only-HSE06/III-A/In/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	In C	264.9999878		FAIL-parity	0.0908	0	-651.71286996	17494.008	112
single_defects_new-only-HSE06/III-A/Tl/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Tl C	264.9999882		FAIL-parity	0.1497	0	-648.40237337	16676.005	112
single_defects_new-only-HSE06/IV-A/Ge/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Ge C	265.9999854		ok	4.9933	0	-662.89688864	17291.633	112
single_defects_new-only-HSE06/IV-A/Pb/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Pb C	265.9999876		ok	4.4401	0	-651.14753999	21103.162	112
single_defects_new-only-HSE06/IV-A/Sn/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Sn C	265.9999923		ok	4.6409	0	-655.27852191	19330.691	112
single_defects_new-only-HSE06/Transition-Metals/Ag/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Ag C	268.9999845	-2.9999995	ok	1.2654	0	-652.0736545	20125.09	112
single_defects_new-only-HSE06/Transition-Metals/Cd/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	5	yes	yes	single	1	Cd C	263.9999832	2.0000005	ok	0.0939	0	-648.82792578	12763.174	112
single_defects_new-only-HSE06/Transition-Metals/Co/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	13	yes	yes	single	1	Co C	266.9999663	0.9999999	ok	0.1044	0	-665.97373553	53790.722	112
single_defects_new-only-HSE06/Transition-Metals/Cr/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	5	yes	yes	single	1	Cr C	263.9999866	2.0000055	ok	4.4323	0	-669.04944665	14129.644	112
single_defects_new-only-HSE06/Transition-Metals/Cu/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Cu C	269.0000223	3.0000001	ok	1.2577	0	-658.14987442	20674.956	112
single_defects_new-only-HSE06/Transition-Metals/Fe/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	5	yes	yes	single	1	Fe C	265.999956		ok	4.3586	0	-668.96094939	19589.867	112
single_defects_new-only-HSE06/Transition-Metals/Mn/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.0001	40	22	yes	yes	single	1	Mn C	264.9999628	0.999996	ok	3.0399	0	-669.06133431	179729.437	112
single_defects_new-only-HSE06/Transition-Metals/Mo/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	5	yes	yes	single	1	Mo C	263.9999791	1.9999991	ok	2.8698	0	-664.96589138	14420.764	112
single_defects_new-only-HSE06/Transition-Metals/Nb/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.0001	40	13	yes	yes	single	1	Nb C	262.9999843	-0.9999998	ok	1.1827	0	-662.0502339	34910.883	112
single_defects_new-only-HSE06/Transition-Metals/Ni/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	19	yes	yes	single	1	Ni C	267.9999407		ok	1.0557	0	-662.6704015	56034.736	112
single_defects_new-only-HSE06/Transition-Metals/Pd/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	25	yes	yes	single	1	Pd C	267.9999688		ok	0.8148	0	-658.08922096	68160.379	112
single_defects_new-only-HSE06/Transition-Metals/Rh/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	30	yes	yes	single	1	Rh C	266.9999838	-1.0000001	ok	0.8809	0	-662.84189651	81373.125	112
single_defects_new-only-HSE06/Transition-Metals/Ru/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	0	1	no	yes	single	1	Ru C	265.9999881		ok	4.4227	0	-666.20665022	4210.713	112
single_defects_new-only-HSE06/Transition-Metals/Sc/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	40	no	yes	single	1	Sc C	262.9999814	-1.0000002	ok	1.3949	0	-659.28161649	112111.476	112
single_defects_new-only-HSE06/Transition-Metals/Tc/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.0001	40	11	yes	yes	single	1	Tc C	264.9999854	1.0000016	ok	1.5487	0	-665.72138266	26367.012	112
single_defects_new-only-HSE06/Transition-Metals/Ti/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Ti C	261.9999775		ok	4.0717	0	-664.57010376	18950.266	112
single_defects_new-only-HSE06/Transition-Metals/V/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.0001	40	15	yes	yes	single	1	V C	262.9999796	-1.0000012	ok	2.652	0	-666.71763836	110159.888	112
single_defects_new-only-HSE06/Transition-Metals/Y/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	40	no	yes	single	1	Y C	262.999985	0.9999999	ok	0.9773	0	-654.7587408	127517.615	112
single_defects_new-only-HSE06/Transition-Metals/Zn/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.0001	40	19	yes	yes	single	1	Zn C	263.9999708	2.0	ok	0.1616	0	-654.98882595	48211.068	112
single_defects_new-only-HSE06/Transition-Metals/Zr/hse06	single_defects_new-only-HSE06	GGA-PBE	0.0000		500	0.001	40	17	yes	yes	single	1	Zr C	263.9999898		ok	2.6107	0	-567.66827904	463.221	112
single_defects_new-only-HSE06/VA/Bi/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	9	yes	yes	single	1	Bi C	266.9999941		FAIL-parity	0.245	0	-648.4477111	22335.02	112
single_defects_new-only-HSE06/VIA/Po/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	7	yes	yes	single	1	Po C	267.9999888		ok	0.5782	0	-644.73041829	18805.845	112
single_defects_new-only-HSE06/VIIA/At/hse06	single_defects_new-only-HSE06	HSE06	0.2500	0.2	500	0.001	40	35	yes	yes	single	1	At C	258.9999838		FAIL-parity	0.3338	0	-639.42421092	74391.605	112
triads_defects/B-N-S/C8-C53-C1-were_replaced/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	7	yes	yes	triad	3	B N S C	257.9999742		ok	0.0069	0	-562.77487457	67.131	112
triads_defects/B-N-S/C8-C53-C1-were_replaced/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	B N S C	257.9999746		ok	0.1099	0	-654.332519	3450.837	112
triads_defects/B-N-S/C8-C53-C1-were_replaced/config2/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	12	yes	yes	triad	3	S B N C	257.9999758	-0.25	FAIL-fractional	0.0079	0	-562.33583449	97.464	112
triads_defects/B-N-S/C8-C53-C1-were_replaced/config2/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	S B N C	257.9999762	-0.25	FAIL-fractional	0.1051	0	-653.79558711	3470.967	112
triads_defects/B-N-S/C8-C53-C1-were_replaced/config3/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	100	23	yes	yes	triad	3	N S B C	257.9999798		ok	2.1664	0	-564.3652105	231.133	112
triads_defects/B-N-S/C8-C53-C1-were_replaced/config3/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	N S B C	257.9999801		ok	3.4373	0	-656.82070312	3456.675	112
triads_defects/B-N-S/C8-C55-C1-were_replaced/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	7	yes	yes	triad	3	B N S C	257.9999742		ok	0.0069	0	-562.77487457	67.131	112
triads_defects/B-N-S/C8-C55-C1-were_replaced/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	B N S C	257.9999746		ok	0.1099	0	-654.332519	3450.837	112
triads_defects/B-N-S/C8-C55-C1-were_replaced/config2/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	12	yes	yes	triad	3	S B N C	257.9999758	-0.25	FAIL-fractional	0.0079	0	-562.33583449	97.464	112
triads_defects/B-N-S/C8-C55-C1-were_replaced/config2/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	S B N C	257.9999762	-0.25	FAIL-fractional	0.1051	0	-653.79558711	3470.967	112
triads_defects/B-N-S/C8-C55-C1-were_replaced/config3/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	100	23	yes	yes	triad	3	N S B C	257.9999798		ok	2.1664	0	-564.3652105	231.133	112
triads_defects/B-N-S/C8-C55-C1-were_replaced/config3/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	N S B C	257.9999801		ok	3.4373	0	-656.82070312	3456.675	112
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	100	26	yes	yes	triad	3	H B Si C	251.9999793	1.9923633	ok	0.317	5	-560.57877843	253.071	112
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	H B Si C	251.9999796	1.9999537	ok	1.6035	0	-651.14168574	3325.171	112
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config2/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	48	yes	yes	triad	3	Si H B C	251.9999897	-0.25	FAIL-fractional	0.0027	0	-563.21189238	482.865	112
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config2/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	Si H B C	251.9999898	-0.25	FAIL-fractional	0.0578	0	-653.04527518	3354.568	112
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config3/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	62	yes	yes	triad	3	B Si H C	251.9999811		ok	0.2568	0	-559.23266127	498.988	112
triads_defects/H-B-Si/C8-C53-C1-were_replaced/config3/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	B Si H C	251.9999814		ok	0.71	0	-648.9657126	3639.032	112
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	100	62	yes	yes	triad	3	H B Si C	251.9999867		ok	0.3743	0	-560.29252735	1156.358	112
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	H B Si C	251.9999869		ok	1.0443	0	-650.28129809	3356.347	112
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config2/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	100	53	yes	yes	triad	3	Si H B C	251.9999837	1e-07	ok	0.3522	0	-560.71858863	979.173	112
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config2/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	Si H B C	251.9999839		ok	0.9911	0	-650.9794707	7325.551	112
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config3/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	3	yes	yes	triad	3	B Si H C	251.9999821	1.5	FAIL-fractional	0.2182	0	-560.16201551	30.245	112
triads_defects/H-B-Si/C8-C55-C1-were_replaced/config3/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	B Si H C	251.9999824	1.9969769	ok	0.5593	0	-650.26825241	3491.742	112
triads_defects/H-N-O/c8-c53-c1/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	100	29	yes	yes	triad	3	H N O C	255.9999767	1.969543	FAIL-fractional	0.2376	9	-560.61432429	287.403	112
triads_defects/H-N-O/c8-c53-c1/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	H N O C	255.9999771	1.9998164	ok	0.1894	4	-652.1856401	3520.72	112
triads_defects/H-N-O/c8-c53-c1/config2	triads_defects	GGA-PBE	0.0000		500	0.1	100	21	yes	yes	triad	3	O H N C	255.9999749	-0.0002291	ok	0.2454	10	-562.01345358	195.85	112
triads_defects/H-N-O/c8-c53-c1/config2/sigma00001	triads_defects	GGA-PBE	0.0000		500	0.0001	100	5	yes	yes	triad	3	O H N C	255.9999748	-0.25	FAIL-fractional	0.1141	0	-562.00569742	49.099	112
triads_defects/H-N-O/c8-c53-c1/config2/sigma00001/hse06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	O H N C	255.9999752	0.000907	ok	0.7581	0	-654.21990659	3805.326	112
triads_defects/H-N-O/c8-c53-c1/config3	triads_defects	GGA-PBE	0.0000		500	0.1	100	36	yes	yes	triad	3	N O H C	255.9999823	1.9999999	ok	0.3238	8	-560.64275789	316.329	112
triads_defects/H-N-O/c8-c53-c1/config3/sigma00001	triads_defects	GGA-PBE	0.0000		500	0.0001	100	59	yes	yes	triad	3	N O H C	255.9999834	1.9999998	ok	0.6243	0	-561.65531629	621.708	112
triads_defects/H-N-O/c8-c53-c1/config3/sigma00001/hse06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	N O H C	255.9999837	1.9999998	ok	1.9646	0	-654.21252969	3417.51	112
triads_defects/H-N-O/c8-c55-c1/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	56	yes	yes	triad	3	H N O C	255.999985	1.9999999	ok	0.6408	0	-559.05228239	493.572	112
triads_defects/H-N-O/c8-c55-c1/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	H N O C	255.9999853	1.9999999	ok	1.9155	0	-651.29638345	3466.308	112
triads_defects/H-N-O/c8-c55-c1/config2/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	40	39	yes	yes	triad	3	O H N C	255.9999903		ok	0.5973	0	-560.16863153	367.324	112
triads_defects/H-N-O/c8-c55-c1/config2/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	O H N C	255.9999905		ok	1.5565	0	-652.25422625	3536.691	112
triads_defects/H-N-O/c8-c55-c1/config3/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	70	yes	yes	triad	3	N O H C	255.9999776	2e-07	ok	0.2604	0	-560.29203378	594.559	112
triads_defects/H-N-O/c8-c55-c1/config3/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	N O H C	255.999978	3e-07	ok	1.2307	0	-652.57665189	4124.063	112
triads_defects/Li-B-P/c8-c53-c1/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	7	yes	yes	triad	3	Li B P C	252.999977	0.9999997	ok	0.0	2	-557.08283036	112.113	112
triads_defects/Li-B-P/c8-c53-c1/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	Li B P C	252.9999773	0.9999997	ok	0.1148	0	-647.21425484	3660.659	112
triads_defects/Li-B-P/c8-c53-c1/config2/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.1	100	29	yes	yes	triad	3	P Li B C	252.9999876		FAIL-parity	0.4277	6	-560.55637703	263.725	112
triads_defects/Li-B-P/c8-c53-c1/config2/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	triad	3	P Li B C	252.9999878	3e-07	FAIL-parity	0.4747	6	-650.37800273	3290.797	112
triads_defects/Li-B-P/c8-c53-c1/config3/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	24	yes	yes	triad	3	B P Li C	252.9999786	2.4999998	FAIL-fractional	0.0686	0	-556.84939644	152.031	112
triads_defects/Li-B-P/c8-c53-c1/config3/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	B P Li C	252.9999789	2.9969764	ok	1.1421	0	-647.11208489	3468.329	112
triads_defects/Li-B-P/c8-c55-c1/config1/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	17	yes	yes	triad	3	Li B P C	252.9999798	2.7499996	FAIL-fractional	0.0327	0	-556.85005236	104.295	112
triads_defects/Li-B-P/c8-c55-c1/config1/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	Li B P C	252.99998	2.9984879	ok	1.0921	0	-647.21579023	3409.406	112
triads_defects/Li-B-P/c8-c55-c1/config2/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	11	yes	yes	triad	3	P Li B C	252.9999817	0.75	FAIL-fractional	0.0366	0	-557.27946171	77.189	112
triads_defects/Li-B-P/c8-c55-c1/config2/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	P Li B C	252.9999819	1.0009071	ok	0.5321	0	-647.39143111	3761.326	112
triads_defects/Li-B-P/c8-c55-c1/config3/GGA-PBE	triads_defects	GGA-PBE	0.0000		500	0.0001	100	14	yes	yes	triad	3	B P Li C	252.9999817	0.9999999	ok	0.0324	0	-557.17099237	89.821	112
triads_defects/Li-B-P/c8-c55-c1/config3/HSE06	triads_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	triad	3	B P Li C	252.9999819	1.0000001	ok	1.0173	0	-647.26078894	4877.564	112
